film_id,title,alternate_title,eligibility_year,ceremony_year,release_status,release_date,verification_url,notes
the-odyssey,The Odyssey,,2026,2027,released,2026-07-17,https://www.theguardian.com/film/2026/jul/15/the-odyssey-review-christopher-nolan-matt-damon,Fecha de estreno UK/US indicada en la reseña
dune-part-three,Dune: Part Three,Dune Part III; Dune: Messiah,2026,2027,upcoming,,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,Se conservan variantes publicadas
wild-horse-nine,Wild Horse Nine,Wild Horse 9,2026,2027,upcoming,,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,Variante numérica conservada
project-hail-mary,Project Hail Mary,,2026,2027,released,2026-03-20,https://www.theguardian.com/film/2026/mar/10/project-hail-mary-review-ryan-goslings-charm-carries-unserious-last-ditch-space-mission,Fecha de estreno US indicada en la reseña
la-bola-negra,La Bola Negra,,2026,2027,upcoming,,https://predictions.nextbestpicture.com/oscars,
fjord,Fjord,,2026,2027,upcoming,,https://predictions.nextbestpicture.com/oscars,
digger,Digger,,2026,2027,upcoming,,https://awardsradar.com/best-picture/,
the-debut,The Debut,,2026,2027,upcoming,,https://predictions.nextbestpicture.com/oscars,
behemoth,Behemoth!,,2026,2027,upcoming,,https://predictions.nextbestpicture.com/oscars,
cliff-booth,The Adventures of Cliff Booth,Untitled Cliff Booth Movie,2026,2027,upcoming,,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,Título provisional conservado
the-invite,The Invite,,2026,2027,released,,https://predictions.nextbestpicture.com/oscars,La muestra no fija fecha de estreno
obsession,Obsession,,2026,2027,released,,https://www.metacritic.com/movie/obsession-2025/,El slug de Metacritic conserva 2025; la muestra corresponde a estreno 2026
the-social-reckoning,The Social Reckoning,,2026,2027,upcoming,,https://awardsradar.com/best-picture/,
fatherland,Fatherland,,2026,2027,upcoming,,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,
all-of-a-sudden,All of a Sudden,Soudain,2026,2027,upcoming,,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,Título alternativo publicado
being-heumann,Being Heumann,,2026,2027,upcoming,,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,
michael,Michael,,2026,2027,released,,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,La muestra no fija fecha de estreno
sense-and-sensibility,Sense and Sensibility,,2026,2027,upcoming,,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,
saturn-return,Saturn Return,,2026,2027,upcoming,,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,
primetime,Primetime,,2026,2027,upcoming,,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,
