observation_id,source_id,publication_id,publication_url,author,published_at,captured_at,season_id,film_id,category,data_type,intent,rank,list_length,value_original,scale_original,value_normalized_5,participates_in_aggregate,extractor_version,status,notes
aw-20260715-bp-01,awardswatch,awards-alchemist-2026-07-15,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,Mark Johnson,2026-07-15,2026-07-24T11:17:17+02:00,oscars-2027,the-odyssey,best-picture,prediction_ordered,nomination,1,10,The Odyssey,,,true,manual-v1,published,
aw-20260715-bp-02,awardswatch,awards-alchemist-2026-07-15,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,Mark Johnson,2026-07-15,2026-07-24T11:17:17+02:00,oscars-2027,dune-part-three,best-picture,prediction_ordered,nomination,2,10,Dune: Part Three,,,true,manual-v1,published,
aw-20260715-bp-03,awardswatch,awards-alchemist-2026-07-15,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,Mark Johnson,2026-07-15,2026-07-24T11:17:17+02:00,oscars-2027,wild-horse-nine,best-picture,prediction_ordered,nomination,3,10,Wild Horse Nine,,,true,manual-v1,published,
aw-20260715-bp-04,awardswatch,awards-alchemist-2026-07-15,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,Mark Johnson,2026-07-15,2026-07-24T11:17:17+02:00,oscars-2027,project-hail-mary,best-picture,prediction_ordered,nomination,4,10,Project Hail Mary,,,true,manual-v1,published,
aw-20260715-bp-05,awardswatch,awards-alchemist-2026-07-15,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,Mark Johnson,2026-07-15,2026-07-24T11:17:17+02:00,oscars-2027,la-bola-negra,best-picture,prediction_ordered,nomination,5,10,La Bola Negra,,,true,manual-v1,published,
aw-20260715-bp-06,awardswatch,awards-alchemist-2026-07-15,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,Mark Johnson,2026-07-15,2026-07-24T11:17:17+02:00,oscars-2027,fjord,best-picture,prediction_ordered,nomination,6,10,Fjord,,,true,manual-v1,published,
aw-20260715-bp-07,awardswatch,awards-alchemist-2026-07-15,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,Mark Johnson,2026-07-15,2026-07-24T11:17:17+02:00,oscars-2027,digger,best-picture,prediction_ordered,nomination,7,10,Digger,,,true,manual-v1,published,
aw-20260715-bp-08,awardswatch,awards-alchemist-2026-07-15,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,Mark Johnson,2026-07-15,2026-07-24T11:17:17+02:00,oscars-2027,the-debut,best-picture,prediction_ordered,nomination,8,10,The Debut,,,true,manual-v1,published,
aw-20260715-bp-09,awardswatch,awards-alchemist-2026-07-15,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,Mark Johnson,2026-07-15,2026-07-24T11:17:17+02:00,oscars-2027,behemoth,best-picture,prediction_ordered,nomination,9,10,Behemoth!,,,true,manual-v1,published,
aw-20260715-bp-10,awardswatch,awards-alchemist-2026-07-15,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,Mark Johnson,2026-07-15,2026-07-24T11:17:17+02:00,oscars-2027,cliff-booth,best-picture,prediction_ordered,nomination,10,10,Untitled Cliff Booth Movie,,,true,manual-v1,published,Título publicado conservado
